Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,MVP,,
3,LeBron James,26,MIA,4,522,1210,0.431,79,38.8,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,15.6,0.244,N,,
4,Kobe Bryant,32,LAL,1,428,1210,0.354,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178,N,,
5,Kevin Durant,22,OKC,0,190,1210,0.157,78,38.9,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,12,0.189,N,,
6,Dirk Nowitzki,32,DAL,0,113,1210,0.093,73,34.3,23,7,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213,N,,
7,Dwyane Wade,29,MIA,0,24,1210,0.02,76,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218,N,,
8,Manu Ginï¿½bili,33,SAS,0,20,1210,0.017,80,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195,N,,
9,Amar'e Stoudemire,28,NYK,0,9,1210,0.007,78,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8,0.134,N,,
10T,Blake Griffin,21,LAC,0,5,1210,0.004,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,N,,
1,LeBron James,25,CLE,116,1205,1230,0.98,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299,Y,,
2,Kevin Durant,21,OKC,4,609,1230,0.495,82,39.5,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,16.1,0.238,N,,
3,Kobe Bryant,31,LAL,0,599,1230,0.487,73,38.8,27,5.4,5,1.5,0.3,0.456,0.329,0.811,9.4,0.16,N,,
4,Dwight Howard,24,ORL,3,478,1230,0.389,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,13.2,0.223,N,,
5,Dwyane Wade,28,MIA,0,119,1230,0.097,77,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13,0.224,N,,
6,Carmelo Anthony,25,DEN,0,65,1230,0.053,69,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145,N,,
7,Dirk Nowitzki,31,DAL,0,55,1230,0.045,81,37.5,25,7.7,2.7,0.9,1,0.481,0.421,0.915,12.3,0.194,N,,
8,Steve Nash,35,PHO,0,49,1230,0.04,81,32.8,16.5,3.3,11,0.5,0.1,0.507,0.426,0.938,9.9,0.178,N,,
9,Deron Williams,25,UTA,0,7,1230,0.006,76,36.9,18.7,4,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177,N,,
10,Amar'e Stoudemire,27,PHO,0,5,1230,0.004,82,34.6,23.1,8.9,1,0.6,1,0.557,0.167,0.771,10.7,0.181,N,,
1,LeBron James,24,CLE,109,1172,1210,0.969,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,Y,,
2,Kobe Bryant,30,LAL,2,698,1210,0.577,82,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206,N,,
3,Dwyane Wade,27,MIA,7,680,1210,0.562,79,38.6,30.2,5,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232,N,,
4,Dwight Howard,23,ORL,1,328,1210,0.271,79,35.7,20.6,13.8,1.4,1,2.9,0.572,0,0.594,13.8,0.234,N,,
5,Chris Paul,23,NOH,2,192,1210,0.159,78,38.5,22.8,5.5,11,2.8,0.1,0.503,0.364,0.868,18.3,0.292,N,,
6,Chauncey Billups,32,TOT,0,33,1210,0.027,79,35.3,17.7,3,6.4,1.2,0.2,0.418,0.408,0.913,10.1,0.174,N,,
7,Paul Pierce,31,BOS,0,21,1210,0.017,81,37.5,20.5,5.6,3.6,1,0.3,0.457,0.391,0.83,10.3,0.164,N,,
8,Tony Parker,26,SAS,0,9,1210,0.007,72,34.1,22,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168,N,,
9,Brandon Roy,24,POR,0,7,1210,0.006,78,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223,N,,
10,Dirk Nowitzki,30,DAL,0,3,1210,0.002,81,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171,N,,
1,Kobe Bryant,29,LAL,82,1100,1260,0.873,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,Y,,
2,Chris Paul,22,NOH,28,894,1260,0.71,80,37.6,21.1,4,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284,N,,
3,Kevin Garnett,31,BOS,15,670,1260,0.532,71,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0,0.801,12.9,0.265,N,,
4,LeBron James,23,CLE,1,438,1260,0.348,75,40.4,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242,N,,
5,Dwight Howard,22,ORL,0,60,1260,0.048,82,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0,0.59,12.9,0.2,N,,
6,Amar'e Stoudemire,25,PHO,0,27,1260,0.021,79,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262,N,,
7,Tim Duncan,31,SAS,0,25,1260,0.02,78,34,19.3,11.3,2.8,0.7,1.9,0.497,0,0.73,11.1,0.201,N,,
8,Tracy McGrady,28,HOU,0,19,1260,0.015,66,37,21.6,5.1,5.9,1,0.5,0.419,0.292,0.684,5.8,0.115,N,,
9,Steve Nash,33,PHO,0,18,1260,0.014,81,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181,N,,
10,Manu Ginóbili,30,SAS,0,9,1260,0.007,74,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,N,,
1,Dirk Nowitzki,28,DAL,83,1138,1290,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,Y,,
2,Steve Nash,32,PHO,44,1013,1290,0.785,76,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225,N,,
3,Kobe Bryant,28,LAL,2,521,1290,0.404,77,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13,0.199,N,,
4,Tim Duncan,30,SAS,0,286,1290,0.222,80,34.1,20,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13,0.23,N,,
5,LeBron James,22,CLE,0,183,1290,0.142,78,40.9,27.3,6.7,6,1.6,0.7,0.476,0.319,0.698,13.7,0.206,N,,
6,Tracy McGrady,27,HOU,0,110,1290,0.085,71,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,8.6,0.163,N,,
7,Chris Bosh,22,TOR,0,43,1290,0.033,69,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,9.6,0.174,N,,
8,Gilbert Arenas,25,WAS,0,31,1290,0.024,74,39.8,28.4,4.6,6,1.9,0.2,0.418,0.351,0.844,10.8,0.177,N,,
9T,Carlos Boozer,25,UTA,0,7,1290,0.005,74,34.6,20.9,11.7,3,0.9,0.3,0.561,,0.685,9.9,0.185,N,,
9T,Kevin Garnett,30,MIN,0,7,1290,0.005,76,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171,N,,
